省会城市,year,GDP(亿元),人均GDP(元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),社会消费品零售总额(亿元)
南昌,2022,7204.0,111031.0,248.538,3484.5748,3470.8872,3011.996
沈阳,2017,5784.7,69754.0,263.052816,2264.0533199,3392.3178141000003,3989.8331
沈阳,2018,6292.3981,75766.0,259.8760415,2376.6387624000004,3655.8832961000003,4051.2312
沈阳,2019,6470.0,77777.0,284.033,2178.449,4007.518,4479.5912
沈阳,2020,6572.0,75570.0,304.2836,2160.2164,4108.1572,3637.6277
沈阳,2021,7249.0,79706.0,326.205,2569.7705,4353.0245,3985.0787
沈阳,2022,7696.0,84268.0,335.5456,2885.2304,4475.224,3864.5155
呼和浩特,2017,3038.545,98132.0,110.957536,842.9227665,2084.823377,1518.8153
呼和浩特,2018,2903.5,93029.0,108.30055,801.366,1993.83345,1603.2418
呼和浩特,2019,2791.0,89138.0,114.1519,823.9032,1853.5031,1076.4944
呼和浩特,2020,2801.0,81656.0,126.8853,815.9313,1857.9033,1032.935
呼和浩特,2021,3121.0,89828.0,137.0119,1053.0254,1931.899,1104.7439
呼和浩特,2022,3329.0,94443.0,160.4578,1155.8288,2012.7134,1059.8061
银川,2017,1803.2581,81660.0,62.936737,846.4719131999999,850.1860998,562.3113
银川,2018,1901.4824,84964.0,67.312477,867.2661226,966.9038004,552.7311
银川,2019,1897.0,83492.0,64.6877,828.7993,1003.3233,830.0062
银川,2020,1964.0,69283.0,75.0248,832.9324,1056.0428,770.8699
银川,2021,2263.0,78794.0,83.9573,1028.0809,1150.9618,788.687
银川,2022,2536.0,87756.0,91.8032,1261.9136,1182.2832,791.6241
西宁,2017,1284.9081,54808.0,42.6230381,531.8114651999999,692.8561966,560.7851
西宁,2018,1286.4137,54439.0,46.0536105,467.9973041,772.3627855000001,564.38
西宁,2019,1328.0,55812.0,51.3936,398.7984,877.6752,632.0877
西宁,2020,1373.0,54439.0,56.9795,419.0396,896.9809,573.5731
西宁,2021,1549.0,62638.0,59.0169,517.9856,971.9975,621.0877
西宁,2022,1644.0,66363.0,62.9652,618.3084,962.7264,531.6809
济南,2017,7151.63,98275.0,294.81214109999996,2598.9179378,4302.2813652,4146.1481
济南,2018,7856.56,106302.0,272.622632,2829.1472559999997,4754.790112,4404.464
济南,2019,9443.0,106416.0,342.7809,3265.3894,5834.8297,5162.2206
济南,2020,10141.0,110199.0,362.0337,3531.0962,6247.8701,4469.1335
济南,2021,11432.0,123075.0,409.2656,3963.4744,7059.26,5126.0961
济南,2022,12027.0,128287.0,420.945,4180.5852,7426.6725,4878.1082
太原,2017,3382.1819,77536.0,39.9469418,1253.3816851,2126.9067469,1767.821
太原,2018,3884.4778,88272.0,41.1754647,1439.1990249,2404.4917582,1811.9042
太原,2019,4029.0,90698.0,42.3045,1518.5301,2467.3596,1952.8098
太原,2020,4153.0,78734.0,31.9781,1503.8013,2616.8053,1655.1131
太原,2021,5122.0,95646.0,45.0736,2112.825,2964.1014,1873.9018
太原,2022,5571.0,102922.0,47.9106,2466.2817,3056.8077,1761.3967
西安,2017,7471.89,78368.0,245.493519,2561.65628,4496.370201,4329.51
西安,2018,8349.86,85114.0,258.84566,2925.7909440000003,5165.223396,4658.7164
西安,2019,9321.0,92256.0,278.6979,3167.2758,5875.0263,5140.928
西安,2020,10020.0,79181.0,312.624,3327.642,6378.732,4989.3328
西安,2021,10688.0,83689.0,308.8832,3584.7552,6794.3616,4963.4236
西安,2022,11487.0,88806.0,323.9334,4072.1415,7092.0738,4642.1133
上海,2017,30632.99,126634.0,110.278764,9330.808754000001,21191.902481999998,11830.3
上海,2018,32679.87,134982.0,104.57558399999999,9732.065286,22843.22913,12668.6893
上海,2019,38156.0,157279.0,103.0212,10298.3044,27750.8588,15847.553
上海,2020,38701.0,155800.0,104.4927,10290.5959,28309.7815,15932.503
上海,2021,43215.0,173600.0,99.3945,11447.6535,31667.952,18079.2515
上海,2022,44653.0,179900.0,98.2366,11457.9598,33096.8036,16442.14
成都,2017,13889.39,86911.0,498.91380899999996,5874.0292401,7383.559500900001,6403.5285
成都,2018,15342.7716,94782.0,523.1885116000001,6516.0750984999995,8303.507989900001,6801.81
成都,2019,17013.0,103386.0,612.468,5245.1079,11155.4241,8313.4016
成都,2020,17717.0,85679.0,655.529,5419.6303,11643.6124,8118.5362
成都,2021,19917.0,94622.0,583.5681,6114.519,13220.9046,9251.8108
成都,2022,20818.0,98149.0,589.1494,6403.6168,13825.2338,9096.4793
天津,2017,18549.19,119238.0,168.797629,7594.038386,10786.353985,5729.6691
天津,2018,18809.64,120711.0,173.048688,7610.380344,11026.210968000001,5533.044
天津,2019,14104.0,90371.0,184.7624,4968.8392,8950.3984,4218.2097
天津,2020,14084.0,101614.0,209.8516,4804.0524,9068.6876,3582.9079
天津,2021,15695.0,113732.0,224.4385,5854.235,9614.757,3769.7821
天津,2022,16311.0,119235.0,272.3937,6038.3322,9998.643,3571.992
拉萨,2017,479.26,71246.0,16.703292,196.2338055,269.9279025,258.7588
拉萨,2018,540.78,77688.0,18.278364,229.66926600000002,292.83237,295.3918
拉萨,2019,618.0,86750.0,20.085,236.1378,361.6536,322.1742
拉萨,2020,678.0,79391.0,22.4418,290.3874,365.1708,369.353
拉萨,2021,742.0,85210.0,23.9666,278.0274,438.9672,399.3469
拉萨,2022,748.0,86091.0,26.7784,291.4208,429.8008,353.3132
乌鲁木齐,2017,2730.6455,77756.0,26.725206800000002,826.1116946999999,1926.4113997000002,1317.1211
乌鲁木齐,2018,3099.7659,87196.0,25.4180804,948.2183888000001,2126.1294307999997,1353.9949
乌鲁木齐,2019,3413.0,96723.0,27.6453,906.1515,2479.5445,1389.19
乌鲁木齐,2020,3337.0,82314.0,27.0297,907.9977,2401.9726,1043.5102
乌鲁木齐,2021,3692.0,90794.0,28.0592,1040.0364,2623.9044,1171.8619
乌鲁木齐,2022,3893.0,95559.0,31.144,1133.2523,2728.6037,1033.0011
昆明,2017,4857.64,71906.0,211.3590876,1849.1199769000002,2693.0088855,2590.9538
昆明,2018,5206.8979,76387.0,222.3345403,2037.9798381,2946.5835216,2787.4053
昆明,2019,6476.0,93853.0,270.0492,2078.796,4127.1548,3186.7367
昆明,2020,6734.0,80584.0,311.7842,2103.0282,4319.1876,3070.4358
昆明,2021,7223.0,85146.0,332.9803,2288.2464,4601.7733,3386.4049
昆明,2022,7541.0,88193.0,327.2794,2413.12,4800.6006,3385.2617
杭州,2017,12603.36,135113.0,304.822969,4345.9771462,7760.636434800001,5717.4278
杭州,2018,13509.1508,140180.0,305.30680809999996,4571.4966306999995,8632.3473612,5715.3259
杭州,2019,15373.0,152465.0,325.9076,4874.7783,10172.3141,6187.599
杭州,2020,16106.0,136617.0,325.3412,4820.5258,10958.5224,6055.4683
杭州,2021,18109.0,149857.0,333.2056,5488.8379,12286.9565,6743.5217
杭州,2022,18753.0,152588.0,345.0552,5620.2741,12787.6707,7293.5631
重庆,2017,19500.27,63442.0,1281.0526874,8617.9941744,9601.223138199999,8067.6654
重庆,2018,20363.19,65933.0,1378.5879630000002,8328.54471,10656.057327,7977.0105
重庆,2019,23606.0,75828.0,1550.9142,9496.6938,12558.392,11631.6743
重庆,2020,25003.0,78173.0,1802.7163,9991.1988,13206.5846,11787.2002
重庆,2021,27894.0,86879.0,1921.8966,11185.494,14786.6094,13967.6742
重庆,2022,29129.0,90663.0,2012.8139,11695.2935,15423.8055,13926.0832
